20,20
[floor1]
0,-1,-1,0,-1,A1,0,0,0,-1,-1,-1,T1,-1,-1,0,0,-1,0,0
0,-1,-1,0,0,-1,-1,0,0,K1,0,-1,0,0,D3,0,0,0,0,-1
-1,-1,0,-1,0,0,-1,0,D1,K2,0,-1,-1,-1,0,0,0,0,-1,-1
0,0,0,0,0,-1,0,-1,0,K2,0,0,0,-1,-1,0,0,0,0,0
-1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0
-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,0
0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1
0,-1,-1,0,-1,-1,0,0,-1,-1,D2,-1,-1,-1,-1,0,-1,0,-1,0
-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,-1,-1
0,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0
-1,-1,-1,0,K1,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,-1
0,-1,-1,-1,-1,0,0,0,0,K3,0,0,0,0,0,0,-1,0,-1,-1
0,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,-1,-1
-1,0,0,0,-1,-1,-1,0,0,0,0,D1,0,-1,-1,-1,-1,0,-1,-1
-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0
-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,0,0,0,0,0,-1
-1,0,-1,0,0,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,0
0,D1,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,-1,0,-1
-1,0,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,-1
