18,16
[floor2]
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,T1,D3,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
-1,-1,-1,D5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,0,K1,0,0,0,0,0,0
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1
-1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,0,-1
-1,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,-1,-1
0,0,-1,-1,-1,0,0,0,-1,0,0,-1,0,0,OW,-1
0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1
