20,15
[floor1]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,-1,D4,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,0,0,0,0,0,0,K4,0
0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,D2,0,D6,0,0,0,0,0,0
0,-1,D5,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
0,0,0,0,K3,0,0,0,-1,0,D7,0,0,0,A1
0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
0,0,0,0,0,0,0,0,-1,0,-1,0,K7,0,0
0,0,0,0,K5,0,0,0,-1,0,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,-1,0,0,0,K6,0,0
-1,D3,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
0,0,0,-1,0,0,0,0,0,0,0,K1,0,0,0
-1,D1,-1,0,-1,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
T1,0,0,D2,0,0,D2,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,K2
