20,28
[floor1]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,0,0,-1,0,K17,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,K1,0,0,0,0,0,0,0
0,-1,0,K4,-1,0,0,-1,0,0,K3,0,0,0,D2,0,0,0,0,D1,0,0,0,0,0,0,0,0
0,-1,0,0,-1,D16,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,A1,0,0,0,0
0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,D4,0,0,0,0,0,D3,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,K5,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,D1,-1,-1,-1,-1,-1
0,0,0,D6,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,K2,0,0,0,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,D5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,UP,0,0,0,0
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D7,0,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
K7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
[floor2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,K8,0,0,0,0,0,0,0
0,-1,0,K11,0,0,0,-1,0,0,K10,0,0,0,D9,0,0,0,0,D8,0,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,DO,0,0,0,0
0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,-1,0,0,0,0,0,K16,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0
